open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1614556800000,0.085,1.0,0.085,0.1383,4688671574.43,1617235199999,900581212.845329,2442488,2282658180.02,442311291.545034,0
1617235200000,0.1384,0.174,0.0693,0.1062,9014364925.82,1619827199999,1048385546.544212,3271871,4524178082.13,527017318.537075,0
1619827200000,0.1062,0.1361,0.0317,0.0436,13085442287.12,1622505599999,952591451.950198,2880952,6497005277.51,473552153.202122,0
1622505600000,0.0436,0.0508,0.0201,0.0259,6829812419.56,1625097599999,225233321.4033,895893,3319159531.54,109638063.179781,0
1625097600000,0.026,0.0455,0.0233,0.0407,16603945989.15,1627775999999,588509972.497801,1655520,8295961566.5,294520914.21487,0
1627776000000,0.0407,0.0692,0.0375,0.05847,16894530675.11,1630454399999,892419191.8379545,2041553,8425602616.91,445997884.23352,0
1630454400000,0.05845,0.06661,0.03169,0.0344,9181305084.56,1633046399999,437060981.7834227,1486616,4571039569.52,217628187.5526974,0
1633046400000,0.03436,0.064,0.03383,0.05157,15564046651.19,1635724799999,791479013.2226355,2578042,7805618758.27,397300245.6894437,0
1635724800000,0.05154,0.08729,0.046,0.05309,17240399459.98,1638316799999,1107582042.5881872,3537005,8572314997.44,551228222.1325426,0
1638316800000,0.05317,0.06172,0.032,0.04314,15662637299.84,1640995199999,704027564.0853962,2466028,7763441049.5,349654757.6213773,0
1640995200000,0.04316,0.053,0.01979,0.02445,12681493358.03,1643673599999,421776317.5687179,1465529,6242990460.27,208307332.5275971,0
1643673600000,0.02444,0.03091,0.01633,0.02055,8484423327.45,1646092799999,203772147.4356777,804806,4208496326.9,100910235.2483453,0
1646092800000,0.02053,0.02951,0.01691,0.02664,10408781088.92,1648771199999,228415716.8473407,973036,5059548940.49,111115946.9839794,0
1648771200000,0.02665,0.0348,0.01696,0.01798,27748360868.75,1651363199999,746560524.8164656,2517691,13725379377.45,370054122.6969704,0
1651363200000,0.01796,0.02016,0.00575,0.01105,29186562368.3,1654041599999,326752955.4674852,1377366,14286152607.74,160231504.9643441,0
1654041600000,0.01105,0.01296,0.00701,0.00791,18824498441.46,1656633599999,180966544.7169293,903887,9142809910.29,87912924.5722141,0
1656633600000,0.00791,0.01097,0.00745,0.01025,8073297398.93,1659311999999,72601713.1499065,401015,3868106682.93,34770287.567743,0
1659312000000,0.01024,0.012,0.00743,0.00801,9891467797.58,1661990399999,99061258.5034574,498545,4789105389.32,48120321.8368597,0
1661990400000,0.00801,0.0094,0.00654,0.00732,7372489708.63,1664582399999,56825309.9393317,290240,3594248427.43,27701460.9083152,0
1664582400000,0.00733,0.00978,0.00672,0.00806,13143048820.78,1667260799999,106628214.955716,476627,6213890094.45,50397137.9979028,0
1667260800000,0.00807,0.00997,0.00528,0.00629,11094386263.91,1669852799999,80815719.8756964,419005,5345688889.06,38921044.5622032,0
1669852800000,0.00629,0.00666,0.004672,0.004888,5328797331.42,1672531199999,30614481.08837428,200019,2478738484.91,14222500.37795137,0
1672531200000,0.004893,0.008002,0.004853,0.007258,9849786982.76,1675209599999,63592264.34833879,482497,4754545413.21,30632492.69276773,0
1675209600000,0.007263,0.01758,0.006594,0.009912,25228248749.13,1677628799999,298147824.6668225,1550626,12501624699.78,147937467.61537132,0
1677628800000,0.009928,0.0175,0.006265,0.01135,41230467309.9,1680307199999,447717425.1070185,2586432,20533135284.64,223142107.29469904,0
1680307200000,0.011349,0.019412,0.010281,0.014267,45944120137.37,1682899199999,666690183.0699356,2711056,23058603637.07,334838472.6107219,0
