open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1612137600000,9.55,30.0,8.3,9.379,75090848.976,1614556799999,1054598190.729024,2231501,35348549.462,502660714.342874,0
1614556800000,9.379,19.711,9.32,18.06,219577571.554,1617235199999,2880344669.074543,4681934,104703949.961,1380840323.671549,0
1617235200000,18.058,44.278,15.2,40.794,251387877.796,1619827199999,6570233769.242448,9171829,124527719.38,3261653515.991552,0
1619827200000,40.812,42.98,9.447,17.926,274003003.632,1622505599999,6435615612.372886,10175160,132580606.921,3098048933.625808,0
1622505600000,17.926,21.528,9.644,13.836,162792298.958,1625097599999,2618471367.345619,4450916,80632728.584,1298974059.846974,0
1625097600000,13.846,16.317,10.85,15.957,101710463.56,1627775999999,1430445228.54173,2532735,50013528.019,703859808.516065,0
1627776000000,15.987,26.6,15.4,22.89,118004895.998,1630454399999,2494054729.968878,4644416,58500499.048,1236400129.755013,0
1630454400000,22.89,25.37,16.89,18.91,109812370.97,1633046399999,2281892597.996636,3418187,52980200.777,1100038372.862931,0
1633046400000,18.91,21.29,17.27,17.65,96643523.46,1635724799999,1885236097.2945,3198045,47601938.14,930026789.9346,0
1635724800000,17.66,20.52,12.0,14.01,100519561.195,1638316799999,1695063394.16663,4056858,48100490.92,813788225.94227,0
1638316800000,14.03,14.67,10.0,11.74,86145324.203,1640995199999,1048748712.813113,2847663,41836228.08,509708261.01917,0
1640995200000,11.74,12.6,6.81,7.39,83400524.454,1643673599999,779737221.304786,2014867,40383569.977,377291037.60212,0
1643673600000,7.39,8.72,5.57,6.85,63622771.785,1646092799999,476895313.701834,1369071,31275625.41,234755479.0268,0
1646092800000,6.85,9.53,5.3,8.78,108721126.181,1648771199999,750229813.901004,2121747,53665107.56,370621659.75737,0
1648771200000,8.78,10.99,7.219,7.222,108969114.5,1651363199999,946820306.89756,2741183,52514801.73,456883375.16403,0
1651363200000,7.222,7.944,3.288,4.645,87876938.803,1654041599999,467197367.64407,2125010,43090511.194,228939897.875524,0
1654041600000,4.645,4.967,2.486,3.046,74802739.949,1656633599999,260805456.122192,1299512,38041429.44,131799498.71084,0
1656633600000,3.045,4.23,2.843,3.961,57243224.37,1659311999999,195800230.38229,988079,29829591.76,102108554.35666,0
1659312000000,3.96,4.684,3.53,3.915,44617524.45,1661990399999,183049244.98088,915077,22793250.53,93486494.59311,0
1661990400000,3.916,5.089,3.845,4.765,43716044.67,1664582399999,191952941.64633,889947,22738446.22,99880908.3276,0
1664582400000,4.765,4.9,4.1,4.734,29112396.39,1667260799999,132527611.69955,972669,15170060.68,69074490.31297,0
1667260800000,4.733,5.476,3.572,3.974,47289441.03,1669852799999,202403927.59445,1035594,23894365.8,102467370.44914,0
1669852800000,3.973,4.088,3.115,3.175,19914474.31,1672531199999,72480827.06879,427781,9919291.35,36095820.17637,0
1672531200000,3.175,4.202,3.128,4.039,34649762.22,1675209599999,129560333.69787,714793,17569080.71,65667876.69265,0
1675209600000,4.036,4.738,3.793,3.922,44411437.57,1677628799999,188961780.65225,1058909,22819473.45,97091239.66036,0
1677628800000,3.922,4.0,3.414,3.704,28855667.92,1680307199999,108273919.22237,701819,14532203.33,54549603.01388,0
1680307200000,3.704,4.0,2.545,2.699,87504596.54,1682899199999,272734655.70172,1221081,41898554.66,130769837.3366,0
