open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1601510400000,0.4,1.49,0.18,0.7841,96734250.86,1604188799999,84140138.317875,319189,46840865.87,40983937.408207,0
1604188800000,0.784,1.6988,0.6501,1.1879,67540985.91,1606780799999,76546274.070248,325196,33293359.34,37960081.337847,0
1606780800000,1.188,5.35,1.1684,4.0482,102151346.13,1609459199999,313839489.080919,1392300,51265074.32,157615353.538603,0
1609459200000,4.0554,11.2,3.5289,9.5066,42293431.79,1612137599999,284248492.098043,1109801,21331903.26,143763857.079843,0
1612137600000,9.5001,18.15,8.8,12.198,29375614.28,1614556799999,398695114.217486,1226328,14844563.09,201604329.571814,0
1614556800000,12.22,15.15,9.8666,12.8302,17476036.62,1617235199999,217774931.537161,735421,8919116.31,111486295.898505,0
1617235200000,12.84,25.067,10.9111,21.6,40446425.566,1619827199999,680174101.625366,1961329,20744316.828,349926492.830175,0
1619827200000,21.626,25.306,5.8,9.374,36937345.811,1622505599999,574609084.690249,1660074,18091493.477,281602817.344153,0
1622505600000,9.375,11.379,4.88,6.924,23237836.401,1625097599999,184045689.304526,690721,11279121.251,89377605.694062,0
1625097600000,6.94,8.363,4.962,7.086,23919878.671,1627775999999,160558546.523709,650645,11804450.4,79327412.517189,0
1627776000000,7.073,15.0,6.268,11.234,36418318.81,1630454399999,356751120.309435,1237207,17828791.942,174936281.475072,0
1630454400000,11.225,16.644,7.852,9.715,32002347.162,1633046399999,364678233.95006,1004010,15851410.658,180652139.554161,0
1633046400000,9.728,14.4,9.529,10.85,20328317.6,1635724799999,239321272.0191,636392,10077852.1,118849669.6567,0
1635724800000,10.85,14.878,10.43,13.515,29652696.9,1638316799999,371016785.8134,959267,14918023.3,187054439.0917,0
1638316800000,13.519,14.156,7.447,8.246,20903215.269,1640995199999,203871760.914431,660573,10538375.653,102796591.66456,0
1640995200000,8.238,8.66,3.75,4.214,11142857.729,1643673599999,65756324.557081,285234,5450117.325,32311056.090909,0
1643673600000,4.21,10.059,3.915,5.635,107930446.8,1646092799999,740154523.6729,2410387,54805566.684,376975195.2762,0
1646092800000,5.635,6.66,4.902,5.92,36178212.3,1648771199999,205106229.184,917689,17450587.6,99125101.3305,0
1648771200000,5.914,7.587,3.621,3.648,22723465.3,1651363199999,129059049.7227,650490,11140991.2,63482880.2731,0
1651363200000,3.646,5.3,1.528,2.244,55334693.6,1654041599999,174465090.104332,852821,27580213.868,87337478.91176,0
1654041600000,2.244,2.4,1.13,1.24,49504085.971,1656633599999,80349149.608009,416454,23903385.0,38925089.0118,0
1656633600000,1.243,1.548,1.123,1.42,67033010.9,1659311999999,90205548.7176,468573,32243089.0,43384841.1592,0
1659312000000,1.419,2.51,1.36,1.557,136676261.1,1661990399999,251147822.1696,1015149,65669452.0,120898416.5671,0
1661990400000,1.556,2.07,1.39,1.702,134901569.9,1664582399999,228866966.5817,838516,64347431.9,109235536.1479,0
1664582400000,1.7,2.702,1.551,2.433,130058410.2,1667260799999,262182509.6339,941604,63292944.7,128028320.2114,0
1667260800000,2.433,3.044,1.373,1.761,160233427.3,1669852799999,336735804.4712,1365281,76935252.4,161500747.7953,0
1669852800000,1.759,1.786,1.223,1.275,40373518.1,1672531199999,62288329.0402,259636,19038726.5,29341102.225,0
1672531200000,1.275,3.25,1.25,3.143,160121396.3,1675209599999,345041923.2627,1336155,78938034.4,170732023.2562,0
1675209600000,3.143,4.582,3.003,3.509,183714349.2,1677628799999,688145239.6136,2461536,90714378.4,339566997.4607,0
1677628800000,3.509,4.998,2.45,4.724,155167565.8,1680307199999,594269268.2181,2293111,77610549.8,297450791.1839,0
1680307200000,4.724,9.97,4.685,8.267,194085876.9,1682899199999,1434913653.0115,4255029,97293136.9,718593864.4968,0
