open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1568937600000,238.7,306.0963,0.0005,1.0,157497.51,1569023999999,163833.935614,407,102451.73,107646.69291,0
1569024000000,1.0,1.0,0.9999,0.9999,141274.28,1569110399999,141269.729968,217,95773.96,95773.96,0
1569110400000,0.9999,1.0001,0.9999,0.9999,127966.26,1569196799999,127961.335501,61,73238.31,73238.805545,0
1569196800000,0.9999,1.0001,0.9999,1.0,1237537.7,1569283199999,1237537.102718,475,1223067.7,1223067.7,0
1569283200000,1.0,1.0499,0.9902,0.9997,3394555.76,1569369599999,3396199.404283,1726,2696712.48,2698377.443439,0
1569369600000,0.9997,1.001,0.9942,0.9997,625266.49,1569455999999,624976.339657,511,218496.05,218558.133542,0
1569456000000,1.0,1.0018,0.9997,0.9999,702098.53,1569542399999,702242.040332,341,531053.05,531228.175628,0
1569542400000,0.9999,1.0011,0.9991,0.9992,240877.53,1569628799999,240867.923921,214,148218.37,148257.150714,0
1569628800000,0.9992,1.0003,0.998,0.999,145946.64,1569715199999,145821.168491,179,17331.25,17334.386605,0
1569715200000,0.9988,1.0,0.9982,0.9982,104913.54,1569801599999,104853.335588,114,63163.35,63162.005095,0
1569801600000,0.9982,1.0003,0.9976,1.0,346265.17,1569887999999,346118.750069,130,37937.41,37936.108039,0
1569888000000,0.9982,1.0,0.9972,0.9994,176436.09,1569974399999,176330.599894,240,134583.62,134569.637154,0
1569974400000,0.9994,0.9999,0.9973,0.9994,288582.13,1570060799999,287998.877234,105,75947.84,75848.313985,0
1570060800000,0.9994,0.9999,0.9972,0.9989,252452.7,1570147199999,252001.723898,90,14656.31,14652.402015,0
1570147200000,0.9989,0.9999,0.9981,0.9982,49799.95,1570233599999,49763.818686,72,9090.67,9089.525827,0
1570233600000,0.9983,0.9999,0.998,0.9982,50077.93,1570319999999,50021.273548,68,13063.99,13061.637262,0
1570320000000,0.9981,1.0,0.9977,0.9989,137304.71,1570406399999,137193.98938,143,90750.68,90729.043298,0
1570406400000,1.0,1.0,0.9976,0.9983,284335.94,1570492799999,284045.228526,260,84515.8,84512.959192,0
1570492800000,0.9983,1.001,0.998,0.9992,432492.16,1570579199999,432386.945021,196,269318.39,269311.539703,0
1570579200000,0.9992,1.0007,0.9978,0.9989,2689959.75,1570665599999,2690098.95594,1056,2200059.11,2200489.177613,0
1570665600000,0.9976,0.9998,0.9965,0.997,148428.97,1570751999999,148142.616161,278,35624.08,35572.452155,0
1570752000000,0.9978,1.0,0.997,0.9991,1059218.96,1570838399999,1058473.828519,1825,216778.61,216637.91587,0
1570838400000,0.9993,1.0,0.998,0.9992,1524524.75,1570924799999,1523352.758673,1354,160485.96,160403.539254,0
1570924800000,0.9992,0.9999,0.9984,0.9996,1920259.26,1571011199999,1918878.815981,1362,657379.32,656834.748499,0
1571011200000,0.9996,0.9999,0.9985,0.9994,2185640.02,1571097599999,2184386.012061,1807,1092892.14,1092248.529572,0
1571097600000,0.9994,1.0006,0.9992,1.0003,3028583.17,1571183999999,3028131.683386,1591,1347065.29,1346754.718794,0
1571184000000,1.0002,1.0011,0.9997,1.0,8195713.67,1571270399999,8197524.140135,2701,2914816.17,2915601.41665,0
1571270400000,1.0001,1.0005,0.9994,0.9995,9330621.75,1571356799999,9330284.437812,1947,6301904.42,6301800.959343,0
1571356800000,0.9995,1.0002,0.9995,0.9997,9477960.17,1571443199999,9476438.822298,4899,5278698.25,5278042.42048,0
1571443200000,0.9996,1.0,0.9991,0.9997,10736113.26,1571529599999,10730865.870513,8117,6111441.07,6108621.876061,0
1571529600000,0.9997,1.0001,0.9986,0.9989,8814488.48,1571615999999,8809822.403627,9182,4766119.22,4763852.842423,0
1571616000000,0.999,0.9995,0.998,0.9983,1996315.96,1571702399999,1994299.747273,8850,625664.39,625118.437573,0
