open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1614556800000,1.289,1.85,1.1,1.117,64500388.954,1617235199999,87689394.517741,318467,28425814.673,39036353.481455,0
1617235200000,1.118,1.371,0.779,1.0,222142034.38,1619827199999,240787190.059819,845790,100036362.587,108721689.720361,0
1619827200000,1.0,1.07,0.185,0.409,228497862.398,1622505599999,154938624.02484,688191,101626625.52,68253146.749613,0
1622505600000,0.409,0.522,0.169,0.252,237917774.817,1625097599999,73105514.365964,438711,112209706.147,34655678.638348,0
1625097600000,0.253,0.289,0.179,0.215,137310822.1,1627775999999,31039852.384496,159974,63902464.658,14451362.784291,0
1627776000000,0.215,0.408,0.197,0.2982,765535175.93,1630454399999,244183242.8378857,954298,367775611.15,117599873.2703738,0
1630454400000,0.2987,0.8389,0.2269,0.3057,2787700838.851,1633046399999,1345781076.6909845,3333045,1372945441.93,667258402.1037484,0
1633046400000,0.3059,0.4238,0.2897,0.3154,1229338399.0,1635724799999,421356025.1408,1488809,600149839.0,206350573.2941,0
1635724800000,0.3154,0.3795,0.2557,0.2777,704101117.0,1638316799999,220827974.9644,936074,340800679.0,107166441.5463,0
1638316800000,0.278,0.3282,0.1753,0.1986,863149063.726,1640995199999,211707127.3807692,1082013,426425429.893,104862577.4677012,0
1640995200000,0.1983,0.2439,0.0912,0.1123,399559633.148,1643673599999,62918515.682448,375578,191172401.027,30051940.69235,0
1643673600000,0.1122,0.1845,0.0998,0.1604,1249582297.0,1646092799999,178653355.2254,999027,629266780.0,90500597.1096,0
1646092800000,0.1605,0.2488,0.1125,0.1996,1517124248.0,1648771199999,250258426.153,1359480,751777323.0,124980986.6636,0
1648771200000,0.1997,0.2142,0.1343,0.1351,1183199800.0,1651363199999,208811803.4298,1080321,568405538.0,100496459.4459,0
1651363200000,0.1352,0.1493,0.071,0.0854,712126603.0,1654041599999,71134891.0646,353155,342120027.0,34209049.582,0
1654041600000,0.0854,0.0875,0.0454,0.0533,551813211.381,1656633599999,33047217.52917,197632,267276763.0,16025448.9684,0
1656633600000,0.0534,0.0627,0.042,0.0548,824067193.0,1659311999999,43666688.4437,233099,401033985.0,21282952.2752,0
1659312000000,0.0546,0.0657,0.0498,0.0505,920924582.0,1661990399999,53730050.0503,247961,432774298.0,25308718.7916,0
1661990400000,0.0504,0.0647,0.0409,0.042,816529507.0,1664582399999,41890232.7543,211127,391215363.0,20072871.7478,0
1664582400000,0.042,0.0525,0.0327,0.0381,766592113.0,1667260799999,31524821.9767,208648,376970042.0,15595522.5856,0
1667260800000,0.0381,0.0443,0.0239,0.0291,1114946373.0,1669852799999,35824021.3606,269326,549437434.0,17684993.865,0
1669852800000,0.0291,0.0296,0.0215,0.0219,673677557.0,1672531199999,17380886.8251,131498,306044725.0,7911773.838,0
1672531200000,0.022,0.0824,0.0217,0.0544,3939781058.0,1675209599999,211482453.5875,874472,1958601816.0,104684579.0238,0
1675209600000,0.0544,0.3669,0.0485,0.1953,11756554159.0,1677628799999,2006407986.7294,6096022,5825730467.0,996596008.0347,0
1677628800000,0.1952,0.4876,0.1323,0.413,17668800667.0,1680307199999,5493160744.9512,11449832,8719167683.0,2717510712.9639,0
1680307200000,0.413,0.4477,0.2726,0.3272,6134093495.0,1682899199999,2220628387.2924,4635068,2990125845.0,1083030109.9538,0
